,Unnamed: 0,date,open,high,low,close,adj close,volume,MACD,RSI,TEMA,ADR,week_trend
0,1,2018-01-03,30658.73046875,30724.3203125,30456.759765625,30560.94921875,30560.94921875,2309467700,1.0239445613005955,100.0,30558.02834374999,487.021484375,1
1,2,2018-01-04,30691.7109375,30796.9296875,30560.4296875,30736.48046875,30736.48046875,2995571100,6.747922169895901,100.0,30713.567661307225,443.129296875,1
2,3,2018-01-05,30893.859375,30911.009765625,30638.529296875,30814.640625,30814.640625,2263930100,12.007867628544773,100.0,30811.744102886467,393.025,1
3,4,2018-01-08,30895.08984375,30929.150390625,30732.5390625,30899.529296875,30899.529296875,2004162500,17.991163093796786,100.0,30900.32433810294,350.116796875,1
4,5,2018-01-09,30933.509765625,31056.69921875,30852.4296875,31011.41015625,31011.41015625,2004940800,26.033852100259537,100.0,31006.54437970502,292.034765625,1
5,6,2018-01-10,31009.240234375,31267.5703125,30928.580078125,31073.720703125,31073.720703125,2595365800,33.566055645645974,100.0,31083.08757152778,235.484375,1
6,7,2018-01-11,31066.2109375,31133.1796875,30950.0703125,31120.390625,31120.390625,1794778900,40.29654433620817,100.0,31136.72291233364,249.7703125,1
7,8,2018-01-12,31298.05078125,31412.5390625,31198.359375,31412.5390625,31412.5390625,2327417400,58.83869949813016,100.0,31357.453669405,239.0921875,1
8,9,2018-01-15,31702.560546875,31733.1796875,31265.25,31338.869140625,31338.869140625,2664144600,67.34128124414565,90.26408663669608,31385.95199829717,227.43203125,1
9,10,2018-01-16,31423.619140625,31904.75,31423.619140625,31904.75,31904.75,3097059200,102.68860176417364,94.60725166948556,31784.371513897466,281.695703125,1
10,11,2018-01-17,31825.51953125,31983.41015625,31642.26953125,31983.41015625,31983.41015625,3999243800,131.52730589114435,94.94483387584717,31993.71137597684,337.06796875,1
11,12,2018-01-18,32148.44921875,32233.810546875,31869.69921875,32121.939453125,32121.939453125,3741499700,158.99537274564864,95.48131337036492,32155.80609390889,337.498046875,1
12,13,2018-01-19,32142.16015625,32254.890625,31986.0,32254.890625,32254.890625,2906627500,185.19590955611056,95.92796082694731,32292.78737440496,373.6984375,1
13,14,2018-01-22,32276.9609375,32417.23046875,32046.83984375,32393.41015625,32393.41015625,2880231400,210.8120986861868,96.33448903953196,32423.891150422573,384.640625,1
14,15,2018-01-23,32606.140625,32930.69921875,32554.23046875,32930.69921875,32930.69921875,3954770600,260.1862303406524,97.4132318568322,32834.969408520374,365.1328125,0
