,Unnamed: 0,date,open,high,low,close,adj close,volume,MACD,RSI,TEMA,ADR,week_trend
1032,1033,2022-03-11,20460.029296875,20778.859375,20079.150390625,20553.7890625,20553.7890625,3019997500,-907.279564194596,23.368076111045823,20520.48510909072,520.8640625,1
1033,1034,2022-03-14,20203.83984375,20203.83984375,19416.779296875,19531.66015625,19531.66015625,4096127300,-1015.246572641012,18.595218236918456,19773.079896905587,625.016015625,1
1034,1035,2022-03-15,18931.1796875,19392.689453125,18235.48046875,18415.080078125,18415.080078125,6012760100,-1177.3382627256287,14.992712744344487,18697.856631238727,682.262109375,1
1035,1036,2022-03-16,18956.01953125,20120.849609375,18584.0390625,20087.5,20087.5,5501050500,-1157.5038009303753,35.2323119210391,19466.9363778617,780.78984375,1
1036,1037,2022-03-17,21430.7109375,21501.23046875,20786.689453125,21501.23046875,21501.23046875,4826218000,-1015.9968341998464,46.769768386804245,20857.61869255306,917.121875,1
1037,1038,2022-03-18,21232.880859375,21646.150390625,20922.369140625,21412.400390625,21412.400390625,4590509200,-900.637401150856,46.21272202777013,21404.93504459736,979.066015625,0
1038,1039,2022-03-21,21823.0703125,21823.0703125,21096.310546875,21221.33984375,21221.33984375,2340034100,-815.2337020609011,44.97202923095772,21465.774868027427,983.88046875,1
1039,1040,2022-03-22,21319.189453125,21906.3203125,21266.900390625,21889.279296875,21889.279296875,2590383300,-685.7486401079623,50.02351550668531,21912.594326815768,971.8203125,1
1040,1041,2022-03-23,22088.7890625,22423.509765625,21983.099609375,22154.080078125,22154.080078125,2835723800,-555.3617213829166,51.90834576136448,22246.551831813635,868.2625,1
1041,1042,2022-03-24,22002.869140625,22231.669921875,21900.130859375,21945.94921875,21945.94921875,2404819800,-463.480851091128,50.30252085467277,22192.910610066225,648.982421875,1
1042,1043,2022-03-25,21735.609375,21944.080078125,21289.259765625,21404.880859375,21404.880859375,2358152600,-429.3747295181747,46.293134291570325,21740.936382071723,572.38203125,1
1043,1044,2022-03-28,21422.19921875,21790.970703125,21202.689453125,21684.970703125,21684.970703125,2200278800,-375.41690052776175,48.57803209633268,21713.244649152693,558.58984375,1
1044,1045,2022-03-29,21771.2890625,21937.26953125,21722.169921875,21927.630859375,21927.630859375,2259328100,-309.5064875662938,50.541238684170615,21863.674878780304,530.894140625,1
1045,1046,2022-03-30,22101.630859375,22391.349609375,22033.779296875,22232.029296875,22232.029296875,2729645500,-230.0576392339026,52.96700294371054,22136.60764585514,446.030078125,0
1046,1047,2022-03-31,22262.16015625,22262.16015625,21922.580078125,21996.849609375,21996.849609375,2226286300,-183.9504238540103,50.89026295263849,22077.82623769194,429.462109375,0
1047,1048,2022-04-01,21693.099609375,22039.55078125,21558.05078125,22039.55078125,22039.55078125,1937497800,-142.32387474464483,51.26390190894004,22067.57291628974,431.0703125,0
1048,1049,2022-04-04,22227.109375,22523.640625,22124.029296875,22502.310546875,22502.310546875,1868076200,-71.17324813052983,55.23847003986348,22379.986161303776,396.40625,0
1049,1050,2022-04-06,22220.2109375,22244.990234375,22015.119140625,22080.51953125,22080.51953125,2749772600,-48.26451059804458,51.1443264567641,22209.05191437068,358.672265625,0
1050,1051,2022-04-07,21910.400390625,22236.9296875,21779.189453125,21808.98046875,21808.98046875,2078973200,-51.42728235352479,48.644691691772,21930.83905298699,361.6265625,0
1051,1052,2022-04-08,21667.529296875,21872.009765625,21568.220703125,21872.009765625,21872.009765625,1739886100,-48.291193438552,49.26454014983264,21853.493892361435,381.660546875,0
1052,1053,2022-04-11,21688.029296875,21688.029296875,21132.5390625,21208.30078125,21208.30078125,2104906000,-98.22926277510123,43.333343763937854,21361.33581833152,374.50234375,0
1053,1054,2022-04-12,21279.1796875,21519.130859375,20988.19921875,21319.130859375,21319.130859375,2045265200,-127.39396314247642,44.53421829741278,21241.172095070782,389.300390625,0
1054,1055,2022-04-13,21192.619140625,21531.48046875,21141.060546875,21374.369140625,21374.369140625,1696862200,-144.38554397854023,45.15802542449688,21254.88341031127,415.564453125,0
1055,1056,2022-04-14,21463.349609375,21587.470703125,21358.73046875,21518.080078125,21518.080078125,1719437600,-144.5884964115976,46.83334955300933,21385.71158737176,447.67421875,0
1056,1057,2022-04-19,21106.0,21191.80078125,20896.4296875,21027.759765625,21027.759765625,2240088300,-182.2136436578803,42.10710793807385,21113.3134295578,401.87421875,0
